"Player","Team","Position","Type","Team","Bid","Pr","Date (CEST)","Gameweek"
"Stefan Ortega","MCI","G","Drop","BarcelOna '53","","8","Fri Mar 22, 2024, 11:00AM","30"
"John Stones","MCI","D,M","Claim","Redford United","5.00","2","Fri Mar 22, 2024, 11:00AM","30"
"Clement Lenglet","TOT/AVL","D","Drop","Redford United","","2","Fri Mar 22, 2024, 11:00AM","30"
"Neto","BOU","G","Claim","One Season Wonderers","6.00","4","Fri Mar 22, 2024, 11:00AM","30"
"Thomas Kaminski","LUT","G","Drop","One Season Wonderers","","4","Fri Mar 22, 2024, 11:00AM","30"
"Ruben Dias","MCI","D","Claim","BarcelOna '53","5.00","5","Fri Mar 22, 2024, 11:00AM","30"
"Kristoffer Ajer","BRF","D","Drop","BarcelOna '53","","5","Fri Mar 22, 2024, 11:00AM","30"
"Dango Ouattara","BOU","D,M,F","Claim","NOAD Athletic","18.00","2","Fri Mar 22, 2024, 11:00AM","30"
"Issa Kabore","LUT","D,M","Drop","NOAD Athletic","","2","Fri Mar 22, 2024, 11:00AM","30"
"Kyle Walker","MCI","D","Claim","One Season Wonderers","16.00","2","Fri Mar 22, 2024, 11:00AM","30"
"Radu Dragusin","TOT","D","Drop","One Season Wonderers","","2","Fri Mar 22, 2024, 11:00AM","30"
"Jamaal Lascelles","NEW","D","Claim","Sjeeterboys","53.00","1","Fri Mar 22, 2024, 11:00AM","30"
"Matz Sels","NEW/NOT","G","Drop","Sjeeterboys","","1","Fri Mar 22, 2024, 11:00AM","30"
"Chris Mepham","BOU","D","Claim","NOAD Athletic","18.00","1","Fri Mar 22, 2024, 11:00AM","30"
"Adam Smith","BOU","D","Drop","NOAD Athletic","","1","Fri Mar 22, 2024, 11:00AM","30"
"Marc Cucurella","CHE","D,M","Claim","Athletic Club Bapao","12.00","1","Fri Mar 22, 2024, 11:00AM","30"
"Maxime Esteve","BUR","D","Drop","Athletic Club Bapao","","1","Fri Mar 22, 2024, 11:00AM","30"
"Hwang Hee-Chan","WOL","M,F","Claim","Klimmania","1.00","1","Fri Mar 22, 2024, 11:00AM","30"
"Reece Burke","LUT","D","Drop","Klimmania","","1","Fri Mar 22, 2024, 11:00AM","30"
"Ben Chilwell","CHE","D,M","Claim","BarcelOna '53","5.00","1","Fri Mar 22, 2024, 11:00AM","30"
"Wilson Odobert","BUR","M,F","Drop","BarcelOna '53","","1","Fri Mar 22, 2024, 11:00AM","30"
"Reece Burke","LUT","D","Claim","Klimmania","1.00","3","Fri Mar 15, 2024, 12:28PM","29"
"Diogo Jota","LIV","F","Claim","Poor Man's Pirlo","35.00","9","Fri Mar 15, 2024, 12:28PM","29"
"Ruben Dias","MCI","D","Drop","Poor Man's Pirlo","","9","Fri Mar 15, 2024, 12:28PM","29"
"Issa Kabore","LUT","D,M","Claim","NOAD Athletic","12.00","5","Fri Mar 15, 2024, 12:28PM","29"
"Jayden Bogle","SHU","D,M","Drop","NOAD Athletic","","5","Fri Mar 15, 2024, 12:28PM","29"
"Maxime Esteve","BUR","D","Claim","Athletic Club Bapao","6.00","3","Fri Mar 15, 2024, 12:28PM","29"
"Harvey Elliott","LIV","M,F","Drop","Athletic Club Bapao","","3","Fri Mar 15, 2024, 12:28PM","29"
"Radu Dragusin","TOT","D","Claim","One Season Wonderers","6.00","14","Fri Mar 15, 2024, 12:28PM","29"
"Kurt Zouma","WHU","D","Drop","One Season Wonderers","","14","Fri Mar 15, 2024, 12:28PM","29"
"Calvin Bassey","FUL","D","Claim","Redford United","20.00","6","Fri Mar 15, 2024, 12:28PM","29"
"Sean Longstaff","NEW","M","Drop","Redford United","","6","Fri Mar 15, 2024, 12:28PM","29"
"Mathias Jensen","BRF","M","Claim","BarcelOna '53","1.00","7","Fri Mar 15, 2024, 12:28PM","29"
"Andros Townsend","EVE/LUT","M,F","Drop","BarcelOna '53","","7","Fri Mar 15, 2024, 12:28PM","29"
"Ryan Yates","NOT","M","Claim","Sjeeterboys","17.00","3","Fri Mar 15, 2024, 12:28PM","29"
"Adam Wharton","CRY","M","Drop","Sjeeterboys","","3","Fri Mar 15, 2024, 12:28PM","29"
"Willian","FUL","M,F","Claim","NOAD Athletic","10.00","2","Fri Mar 15, 2024, 12:28PM","29"
"Jose Sa","WOL","G","Drop","NOAD Athletic","","2","Fri Mar 15, 2024, 12:28PM","29"
"Moussa Diaby","AVL","M,F","Claim","One Season Wonderers","18.00","10","Fri Mar 15, 2024, 12:28PM","29"
"Christian Norgaard","BRF","M","Drop","One Season Wonderers","","10","Fri Mar 15, 2024, 12:28PM","29"
"Stefan Ortega","MCI","G","Claim","BarcelOna '53","2.00","3","Fri Mar 15, 2024, 12:28PM","29"
"Matt Turner","NOT","G","Drop","BarcelOna '53","","3","Fri Mar 15, 2024, 12:28PM","29"
"Murillo","NOT","D,M","Claim","Klimmania","1.00","2","Fri Mar 15, 2024, 12:28PM","29"
"Josh Cullen","BUR","M","Claim","Redford United","25.00","4","Fri Mar 15, 2024, 12:28PM","29"
"Gabriel Osho","LUT","D","Drop","Redford United","","4","Fri Mar 15, 2024, 12:28PM","29"
"Konstantinos Mavropanos","ARS/WHU","D","Claim","Wilton Wankers","32.00","4","Fri Mar 15, 2024, 12:28PM","29"
"Josko Gvardiol","MCI","D","Drop","Wilton Wankers","","4","Fri Mar 15, 2024, 12:28PM","29"
"Jordan Clark","LUT","M,F","Claim","Redford United","25.00","5","Fri Mar 15, 2024, 12:28PM","29"
"Hwang Hee-Chan","WOL","M,F","Drop","Redford United","","5","Fri Mar 15, 2024, 12:28PM","29"
"Chris Wood","NOT","F","Claim","Sjeeterboys","39.00","2","Fri Mar 15, 2024, 12:28PM","29"
"Pedro Neto","WOL","M,F","Drop","Sjeeterboys","","2","Fri Mar 15, 2024, 12:28PM","29"
"Lucas Digne","AVL","D","Claim","Poor Man's Pirlo","27.00","2","Fri Mar 15, 2024, 12:28PM","29"
"Nelson Semedo","WOL","D,M","Drop","Poor Man's Pirlo","","2","Fri Mar 15, 2024, 12:28PM","29"
"Sergio Reguilon","TOT/MUN/BRF","D,M","Claim","One Season Wonderers","17.00","1","Fri Mar 15, 2024, 12:28PM","29"
"Justin Kluivert","BOU","M,F","Drop","One Season Wonderers","","1","Fri Mar 15, 2024, 12:28PM","29"
"Matz Sels","NEW/NOT","G","Claim","Sjeeterboys","19.00","1","Fri Mar 15, 2024, 12:28PM","29"
"Thiago Silva","CHE","D","Drop","Sjeeterboys","","1","Fri Mar 15, 2024, 12:28PM","29"
"James Trafford","BUR","G","Claim","Mövenpickje FC","62.00","1","Fri Mar 15, 2024, 12:28PM","29"
"Jordan Pickford","EVE","G","Drop","Mövenpickje FC","","1","Fri Mar 15, 2024, 12:28PM","29"
"Brennan Johnson","NOT/TOT","M,F","Claim","Wilton Wankers","46.00","1","Fri Mar 15, 2024, 12:28PM","29"
"Joao Gomes","WOL","M","Drop","Wilton Wankers","","1","Fri Mar 15, 2024, 12:28PM","29"
"Zanka","BRF","D","Claim","Klimmania","1.00","1","Fri Mar 15, 2024, 12:28PM","29"
"Facundo Buonanotte","BHA","M,F","Drop","Klimmania","","1","Fri Mar 15, 2024, 9:28AM","29"
"Morgan Rogers","MCI/AVL","M,F","Drop","Klimmania","","1","Thu Mar 14, 2024, 7:53AM","29"
"Alex Scott","BOU","M","Drop","Klimmania","","1","Thu Mar 14, 2024, 7:53AM","29"
"Andros Townsend","EVE/LUT","M,F","Claim","BarcelOna '53","4.00","11","Fri Mar 8, 2024, 12:00PM","28"
"Harvey Barnes","NEW","M,F","Drop","BarcelOna '53","","11","Fri Mar 8, 2024, 12:00PM","28"
"Harry Maguire","MUN","D","Claim","Klimmania","0.00","12","Fri Mar 8, 2024, 12:00PM","28"
"Anel Ahmedhodzic","SHU","D","Drop","Klimmania","","12","Fri Mar 8, 2024, 12:00PM","28"
"Wilson Odobert","BUR","M,F","Claim","BarcelOna '53","3.00","6","Fri Mar 8, 2024, 12:00PM","28"
"Ben Chilwell","CHE","D,M","Drop","BarcelOna '53","","6","Fri Mar 8, 2024, 12:00PM","28"
"Morgan Rogers","MCI/AVL","M,F","Claim","Klimmania","0.00","10","Fri Mar 8, 2024, 12:00PM","28"
"Christopher Nkunku","CHE","F","Drop","Klimmania","","10","Fri Mar 8, 2024, 12:00PM","28"
"Gabriel Osho","LUT","D","Claim","Redford United","8.00","5","Fri Mar 8, 2024, 12:00PM","28"
"Issa Diop","FUL","D","Drop","Redford United","","5","Fri Mar 8, 2024, 12:00PM","28"
"Kristoffer Ajer","BRF","D","Claim","BarcelOna '53","12.00","3","Fri Mar 8, 2024, 12:00PM","28"
"Lewis Miley","NEW","M","Drop","BarcelOna '53","","3","Fri Mar 8, 2024, 12:00PM","28"
"Joseph Gomez","LIV","D","Claim","Klimmania","3.00","6","Fri Mar 8, 2024, 12:00PM","28"
"Marcos Senesi","BOU","D","Drop","Klimmania","","6","Fri Mar 8, 2024, 12:00PM","28"
"Jorginho","ARS","M","Claim","Nimma Koempels","0.00","3","Fri Mar 8, 2024, 12:00PM","28"
"Ben Godfrey","EVE","D","Drop","Nimma Koempels","","3","Fri Mar 8, 2024, 12:00PM","28"
"Kurt Zouma","WHU","D","Claim","One Season Wonderers","27.00","4","Fri Mar 8, 2024, 12:00PM","28"
"Kyle Walker","MCI","D","Drop","One Season Wonderers","","4","Fri Mar 8, 2024, 12:00PM","28"
"Matt Turner","NOT","G","Claim","BarcelOna '53","4.00","2","Fri Mar 8, 2024, 12:00PM","28"
"David Raya","BRF/ARS","G","Drop","BarcelOna '53","","2","Fri Mar 8, 2024, 12:00PM","28"
"Alex Scott","BOU","M","Claim","Klimmania","3.00","2","Fri Mar 8, 2024, 12:00PM","28"
"Michail Antonio","WHU","F","Drop","Klimmania","","2","Fri Mar 8, 2024, 12:00PM","28"
"Teden Mengi","MUN/LUT","D","Claim","Mövenpickje FC","25.00","2","Fri Mar 8, 2024, 12:00PM","28"
"Amari'i Bell","LUT","D,M","Drop","Mövenpickje FC","","2","Fri Mar 8, 2024, 12:00PM","28"
"Thomas Kaminski","LUT","G","Claim","One Season Wonderers","16.00","5","Fri Mar 8, 2024, 12:00PM","28"
"Neto","BOU","G","Drop","One Season Wonderers","","5","Fri Mar 8, 2024, 12:00PM","28"
"Jefferson Lerma","CRY","D,M","Claim","Wilton Wankers","36.00","1","Fri Mar 8, 2024, 12:00PM","28"
"Mathias Jensen","BRF","M","Drop","Wilton Wankers","","1","Fri Mar 8, 2024, 12:00PM","28"
"Tahith Chong","LUT","M,F","Claim","Mövenpickje FC","33.00","1","Fri Mar 8, 2024, 12:00PM","28"
"Albert Sambi Lokonga","ARS/LUT","M","Drop","Mövenpickje FC","","1","Fri Mar 8, 2024, 12:00PM","28"
"Adam Smith","BOU","D","Claim","NOAD Athletic","18.00","1","Fri Mar 8, 2024, 12:00PM","28"
"John Stones","MCI","D,M","Drop","NOAD Athletic","","1","Fri Mar 8, 2024, 12:00PM","28"
"Justin Kluivert","BOU","M,F","Claim","One Season Wonderers","26.00","1","Fri Mar 8, 2024, 12:00PM","28"
"Toti","WOL","D","Drop","One Season Wonderers","","1","Fri Mar 8, 2024, 12:00PM","28"
"Bryan Mbeumo","BRF","M,F","Claim","Sjeeterboys","12.00","1","Fri Mar 8, 2024, 12:00PM","28"
"Dominic Calvert-Lewin","EVE","F","Drop","Sjeeterboys","","1","Fri Mar 8, 2024, 12:00PM","28"
"Sam Johnstone","CRY","G","Claim","Nimma Koempels","0.00","1","Fri Mar 8, 2024, 12:00PM","28"
"James Trafford","BUR","G","Drop","Nimma Koempels","","1","Fri Mar 8, 2024, 12:00PM","28"
"James Trafford","BUR","G","Claim","Nimma Koempels","0.00","10","Fri Mar 1, 2024, 12:00PM","27"
"Dean Henderson","MUN/CRY","G","Drop","Nimma Koempels","","10","Fri Mar 1, 2024, 12:00PM","27"
"Joao Pedro","BHA","M,F","Claim","Redford United","1.00","7","Fri Mar 1, 2024, 12:00PM","27"
"Neal Maupay","EVE/BRF","F","Drop","Redford United","","7","Fri Mar 1, 2024, 12:00PM","27"
"Amari'i Bell","LUT","D,M","Claim","Mövenpickje FC","5.00","3","Fri Mar 1, 2024, 12:00PM","27"
"Kaoru Mitoma","BHA","M,F","Drop","Mövenpickje FC","","3","Fri Mar 1, 2024, 12:00PM","27"
"Harvey Elliott","LIV","M,F","Claim","Athletic Club Bapao","6.00","3","Fri Mar 1, 2024, 12:00PM","27"
"Jefferson Lerma","CRY","D,M","Drop","Athletic Club Bapao","","3","Fri Mar 1, 2024, 12:00PM","27"
"Vladimir Coufal","WHU","D,M","Claim","Nimma Koempels","0.00","3","Fri Mar 1, 2024, 12:00PM","27"
"Radu Dragusin","TOT","D","Drop","Nimma Koempels","","3","Fri Mar 1, 2024, 12:00PM","27"
"Emerson Royal","TOT","D,M","Claim","Redford United","8.00","2","Fri Mar 1, 2024, 12:00PM","27"
"Kristoffer Ajer","BRF","D","Drop","Redford United","","2","Fri Mar 1, 2024, 12:00PM","27"
"Andreas Pereira","FUL","M","Claim","BarcelOna '53","9.00","3","Fri Mar 1, 2024, 12:00PM","27"
"Harry Maguire","MUN","D","Drop","BarcelOna '53","","3","Fri Mar 1, 2024, 12:00PM","27"
"Thiago Silva","CHE","D","Claim","Sjeeterboys","2.00","4","Fri Mar 1, 2024, 12:00PM","27"
"Daniel Munoz","CRY","D,M","Drop","Sjeeterboys","","4","Fri Mar 1, 2024, 12:00PM","27"
"Josko Gvardiol","MCI","D","Claim","Wilton Wankers","0.00","5","Fri Mar 1, 2024, 12:00PM","27"
"Joseph Gomez","LIV","D","Drop","Wilton Wankers","","5","Fri Mar 1, 2024, 12:00PM","27"
"Albert Sambi Lokonga","ARS/LUT","M","Claim","Mövenpickje FC","12.00","2","Fri Mar 1, 2024, 12:00PM","27"
"Wataru Endo","LIV","M","Drop","Mövenpickje FC","","2","Fri Mar 1, 2024, 12:00PM","27"
"John Stones","MCI","D,M","Claim","NOAD Athletic","8.00","3","Fri Mar 1, 2024, 12:00PM","27"
"Tariq Lamptey","BHA","D,M","Drop","NOAD Athletic","","3","Fri Mar 1, 2024, 12:00PM","27"
"Thomas Partey","ARS","D,M","Claim","Athletic Club Bapao","4.00","2","Fri Mar 1, 2024, 12:00PM","27"
"Jean-Philippe Mateta","CRY","F","Drop","Athletic Club Bapao","","2","Fri Mar 1, 2024, 12:00PM","27"
"Raheem Sterling","CHE","M,F","Claim","Poor Man's Pirlo","11.00","2","Fri Mar 1, 2024, 12:00PM","27"
"Lucas Digne","AVL","D","Drop","Poor Man's Pirlo","","2","Fri Mar 1, 2024, 12:00PM","27"
"Alex Iwobi","EVE/FUL","M,F","Claim","BarcelOna '53","16.00","1","Fri Mar 1, 2024, 12:00PM","27"
"Leandro Trossard","ARS","M,F","Drop","BarcelOna '53","","1","Fri Mar 1, 2024, 12:00PM","27"
"Chris Richards","CRY","D,M","Claim","Klimmania","23.00","1","Fri Mar 1, 2024, 12:00PM","27"
"Ben Mee","BRF","D","Drop","Klimmania","","1","Fri Mar 1, 2024, 12:00PM","27"
"Cody Gakpo","LIV","M,F","Claim","Nimma Koempels","41.00","14","Fri Mar 1, 2024, 12:00PM","27"
"Diogo Jota","LIV","F","Drop","Nimma Koempels","","14","Fri Mar 1, 2024, 12:00PM","27"
"Neco Williams","NOT","D,M","Claim","Wilton Wankers","13.00","1","Fri Mar 1, 2024, 12:00PM","27"
"Marc Guehi","CRY","D","Drop","Wilton Wankers","","1","Fri Mar 1, 2024, 12:00PM","27"
"Bernardo Silva","MCI","M,F","Claim","One Season Wonderers","36.00","1","Fri Mar 1, 2024, 12:00PM","27"
"Sergio Reguilon","TOT/MUN/BRF","D,M","Drop","One Season Wonderers","","1","Fri Mar 1, 2024, 12:00PM","27"
"Antoine Semenyo","BOU","M,F","Claim","Sjeeterboys","37.00","1","Fri Mar 1, 2024, 12:00PM","27"
"Odsonne Edouard","CRY","F","Drop","Sjeeterboys","","1","Fri Mar 1, 2024, 12:00PM","27"
"Julio Enciso","BHA","M,F","Claim","Sjeeterboys","27.00","2","Fri Mar 1, 2024, 12:00PM","27"
"Billy Gilmour","BHA","M","Drop","Sjeeterboys","","2","Fri Mar 1, 2024, 12:00PM","27"
"Timothy Castagne","LEI/FUL","D,M","Claim","Nimma Koempels","0.00","1","Fri Mar 1, 2024, 12:00PM","27"
"Luke Shaw","MUN","D","Drop","Nimma Koempels","","1","Fri Mar 1, 2024, 12:00PM","27"
"Michail Antonio","WHU","F","Claim","Klimmania","7.00","8","Fri Feb 23, 2024, 12:00PM","26"
"Cody Gakpo","LIV","M,F","Drop","Klimmania","","8","Fri Feb 23, 2024, 12:00PM","26"
"Jose Sa","WOL","G","Claim","NOAD Athletic","8.00","6","Fri Feb 23, 2024, 12:00PM","26"
"Joao Pedro","BHA","M,F","Drop","NOAD Athletic","","6","Fri Feb 23, 2024, 12:00PM","26"
"Odsonne Edouard","CRY","F","Claim","Sjeeterboys","8.00","4","Fri Feb 23, 2024, 12:00PM","26"
"Elijah Adebayo","LUT","F","Drop","Sjeeterboys","","4","Fri Feb 23, 2024, 12:00PM","26"
"Lorenz Assignon","BUR","D","Claim","NOAD Athletic","8.00","4","Fri Feb 23, 2024, 12:00PM","26"
"Dango Ouattara","BOU","D,M,F","Drop","NOAD Athletic","","4","Fri Feb 23, 2024, 12:00PM","26"
"Joel Ward","CRY","D","Claim","László Hofnár","12.00","5","Fri Feb 23, 2024, 12:00PM","26"
"Jack Hinshelwood","BHA","D,M","Drop","László Hofnár","","5","Fri Feb 23, 2024, 12:00PM","26"
"Issa Diop","FUL","D","Claim","Redford United","1.00","4","Fri Feb 23, 2024, 12:00PM","26"
"Amari'i Bell","LUT","D,M","Drop","Redford United","","4","Fri Feb 23, 2024, 12:00PM","26"
"Billy Gilmour","BHA","M","Claim","Sjeeterboys","1.00","2","Fri Feb 23, 2024, 12:00PM","26"
"John Stones","MCI","D,M","Drop","Sjeeterboys","","2","Fri Feb 23, 2024, 12:00PM","26"
"Leandro Trossard","ARS","M,F","Claim","BarcelOna '53","7.00","3","Fri Feb 23, 2024, 12:00PM","26"
"Manuel Akanji","MCI","D,M","Drop","BarcelOna '53","","3","Fri Feb 23, 2024, 12:00PM","26"
"Facundo Buonanotte","BHA","M,F","Claim","Klimmania","7.00","2","Fri Feb 23, 2024, 12:00PM","26"
"Armando Broja","CHE/FUL","F","Drop","Klimmania","","2","Fri Feb 23, 2024, 12:00PM","26"
"Sander Berge","BUR","M","Claim","NOAD Athletic","6.00","2","Fri Feb 23, 2024, 12:00PM","26"
"Enes Unal","MCI/BOU","F","Drop","NOAD Athletic","","2","Fri Feb 23, 2024, 12:00PM","26"
"Mark Flekken","BRF","G","Claim","László Hofnár","20.00","4","Fri Feb 23, 2024, 12:00PM","26"
"Mykhailo Mudryk","CHE","M,F","Drop","László Hofnár","","4","Fri Feb 23, 2024, 12:00PM","26"
"Lewis Miley","NEW","M","Claim","BarcelOna '53","7.00","1","Fri Feb 23, 2024, 12:00PM","26"
"Gabriel Osho","LUT","D","Drop","BarcelOna '53","","1","Fri Feb 23, 2024, 12:00PM","26"
"Tyrick Mitchell","CRY","D,M","Claim","Mövenpickje FC","25.00","1","Fri Feb 23, 2024, 12:00PM","26"
"Curtis Jones","LIV","M","Drop","Mövenpickje FC","","1","Fri Feb 23, 2024, 12:00PM","26"
"Toti","WOL","D","Claim","One Season Wonderers","12.00","1","Fri Feb 23, 2024, 12:00PM","26"
"Willian","FUL","M,F","Drop","One Season Wonderers","","1","Fri Feb 23, 2024, 12:00PM","26"
"Jean-Philippe Mateta","CRY","F","Claim","Athletic Club Bapao","33.00","1","Fri Feb 23, 2024, 12:00PM","26"
"Thomas Partey","ARS","D,M","Drop","Athletic Club Bapao","","1","Fri Feb 23, 2024, 12:00PM","26"
"Jakub Kiwior","ARS","D","Claim","László Hofnár","21.00","1","Fri Feb 23, 2024, 12:00PM","26"
"Kurt Zouma","WHU","D","Drop","László Hofnár","","1","Fri Feb 23, 2024, 12:00PM","26"
"Caoimhin Kelleher","LIV","G","Claim","Sjeeterboys","23.00","1","Fri Feb 23, 2024, 12:00PM","26"
"Martin Dubravka","NEW","G","Drop","Sjeeterboys","","1","Fri Feb 23, 2024, 12:00PM","26"
"Kristoffer Ajer","BRF","D","Claim","Redford United","1.00","1","Fri Feb 23, 2024, 12:00PM","26"
"Raul Jimenez","FUL","F","Drop","Redford United","","1","Fri Feb 23, 2024, 12:00PM","26"
"Cody Gakpo","LIV","M,F","Claim","Klimmania","11.00","6","Fri Feb 16, 2024, 12:00PM","25"
"Ben Brereton","SHU","M,F","Drop","Klimmania","","6","Fri Feb 16, 2024, 12:00PM","25"
"Marcos Senesi","BOU","D","Claim","Klimmania","2.00","5","Fri Feb 16, 2024, 12:00PM","25"
"Tim Ream","FUL","D","Drop","Klimmania","","5","Fri Feb 16, 2024, 12:00PM","25"
"Jordan Pickford","EVE","G","Claim","Mövenpickje FC","5.00","5","Fri Feb 16, 2024, 12:00PM","25"
"Mark Flekken","BRF","G","Drop","Mövenpickje FC","","5","Fri Feb 16, 2024, 12:00PM","25"
"Pablo Sarabia","WOL","M,F","Claim","Redford United","5.00","3","Fri Feb 16, 2024, 12:00PM","25"
"Danny Welbeck","BHA","M,F","Drop","Redford United","","3","Fri Feb 16, 2024, 12:00PM","25"
"Adam Wharton","CRY","M","Claim","Sjeeterboys","8.00","3","Fri Feb 16, 2024, 12:00PM","25"
"Andreas Pereira","FUL","M","Drop","Sjeeterboys","","3","Fri Feb 16, 2024, 12:00PM","25"
"Gabriel Osho","LUT","D","Claim","BarcelOna '53","2.00","2","Fri Feb 16, 2024, 12:00PM","25"
"Raheem Sterling","CHE","M,F","Drop","BarcelOna '53","","2","Fri Feb 16, 2024, 12:00PM","25"
"Alphonse Areola","WHU","G","Claim","Klimmania","5.00","2","Fri Feb 16, 2024, 12:00PM","25"
"Thomas Kaminski","LUT","G","Drop","Klimmania","","2","Fri Feb 16, 2024, 12:00PM","25"
"Kai Havertz","ARS","M,F","Claim","Wilton Wankers","9.00","2","Fri Feb 16, 2024, 12:00PM","25"
"Callum Wilson","NEW","F","Drop","Wilton Wankers","","2","Fri Feb 16, 2024, 12:00PM","25"
"Rodrigo Muniz","FUL","F","Claim","Mövenpickje FC","8.00","3","Fri Feb 16, 2024, 12:00PM","25"
"Odsonne Edouard","CRY","F","Drop","Mövenpickje FC","","3","Fri Feb 16, 2024, 12:00PM","25"
"Tariq Lamptey","BHA","D,M","Claim","NOAD Athletic","12.00","3","Fri Feb 16, 2024, 12:00PM","25"
"Toti","WOL","D","Drop","NOAD Athletic","","3","Fri Feb 16, 2024, 12:00PM","25"
"Idrissa Gueye","EVE","M","Claim","Poor Man's Pirlo","26.00","3","Fri Feb 16, 2024, 12:00PM","25"
"Jacob Murphy","NEW","M,F","Drop","Poor Man's Pirlo","","3","Fri Feb 16, 2024, 12:00PM","25"
"Amari'i Bell","LUT","D,M","Claim","Redford United","11.00","1","Fri Feb 16, 2024, 12:00PM","25"
"Boubacar Kamara","AVL","M","Drop","Redford United","","1","Fri Feb 16, 2024, 12:00PM","25"
"John Stones","MCI","D,M","Claim","Sjeeterboys","31.00","1","Fri Feb 16, 2024, 12:00PM","25"
"Thiago Silva","CHE","D","Drop","Sjeeterboys","","1","Fri Feb 16, 2024, 12:00PM","25"
"Wataru Endo","LIV","M","Claim","Mövenpickje FC","62.00","1","Fri Feb 16, 2024, 12:00PM","25"
"Christian Eriksen","MUN","M","Drop","Mövenpickje FC","","1","Fri Feb 16, 2024, 12:00PM","25"
"David Datro Fofana","CHE/BUR","F","Claim","Poor Man's Pirlo","26.00","1","Fri Feb 16, 2024, 12:00PM","25"
"Moussa Diaby","AVL","M,F","Drop","Poor Man's Pirlo","","1","Fri Feb 16, 2024, 12:00PM","25"
"Callum Hudson-Odoi","CHE/NOT","M,F","Claim","NOAD Athletic","19.00","1","Fri Feb 16, 2024, 12:00PM","25"
"Oliver McBurnie","SHU","F","Drop","NOAD Athletic","","1","Fri Feb 16, 2024, 12:00PM","25"
"Lewis Cook","BOU","M","Claim","Klimmania","1.00","1","Fri Feb 16, 2024, 12:00PM","25"
"Tom Cairney","FUL","M","Drop","Klimmania","","1","Fri Feb 16, 2024, 12:00PM","25"
"Manuel Akanji","MCI","D,M","Claim","BarcelOna '53","3.00","1","Fri Feb 16, 2024, 12:00PM","25"
"Rodrigo Bentancur","TOT","M","Drop","BarcelOna '53","","1","Fri Feb 16, 2024, 12:00PM","25"
"Sergio Reguilon","TOT/MUN/BRF","D,M","Claim","One Season Wonderers","26.00","1","Fri Feb 16, 2024, 12:00PM","25"
"Vladimir Coufal","WHU","D,M","Drop","One Season Wonderers","","1","Fri Feb 16, 2024, 12:00PM","25"
"Ben Godfrey","EVE","D","Claim","Nimma Koempels","0.00","1","Fri Feb 16, 2024, 12:00PM","25"
"Josko Gvardiol","MCI","D","Drop","Nimma Koempels","","1","Fri Feb 16, 2024, 12:00PM","25"
"Joseph Gomez","LIV","D","Claim","Wilton Wankers","0.00","1","Fri Feb 9, 2024, 12:00PM","24"
"Lisandro Martinez","MUN","D","Drop","Wilton Wankers","","1","Fri Feb 9, 2024, 12:00PM","24"
"Neal Maupay","EVE/BRF","F","Claim","Redford United","5.00","2","Fri Feb 9, 2024, 12:00PM","24"
"Kalvin Phillips","MCI/WHU","M","Drop","Redford United","","2","Fri Feb 9, 2024, 12:00PM","24"
"Thomas Kaminski","LUT","G","Claim","Klimmania","2.00","3","Fri Feb 9, 2024, 12:00PM","24"
"Alphonse Areola","WHU","G","Drop","Klimmania","","3","Fri Feb 9, 2024, 12:00PM","24"
"Mark Flekken","BRF","G","Claim","Mövenpickje FC","12.00","2","Fri Feb 9, 2024, 12:00PM","24"
"Jordan Pickford","EVE","G","Drop","Mövenpickje FC","","2","Fri Feb 9, 2024, 12:00PM","24"
"Nathan Ake","MCI","D","Claim","Klimmania","26.00","1","Fri Feb 9, 2024, 12:00PM","24"
"Timothy Castagne","LEI/FUL","D,M","Drop","Klimmania","","1","Fri Feb 9, 2024, 12:00PM","24"
"Nicolas Jackson","CHE","M,F","Claim","NOAD Athletic","32.00","2","Fri Feb 9, 2024, 12:00PM","24"
"Gustavo Hamer","SHU","M,F","Drop","NOAD Athletic","","2","Fri Feb 9, 2024, 12:00PM","24"
"Carlton Morris","LUT","F","Claim","Mövenpickje FC","15.00","3","Fri Feb 9, 2024, 12:00PM","24"
"Evan Ferguson","BHA","F","Drop","Mövenpickje FC","","3","Fri Feb 9, 2024, 12:00PM","24"
"Taiwo Awoniyi","NOT","F","Claim","Poor Man's Pirlo","26.00","1","Fri Feb 9, 2024, 12:00PM","24"
"Antoine Semenyo","BOU","M,F","Drop","Poor Man's Pirlo","","1","Fri Feb 9, 2024, 12:00PM","24"
"Jack Hinshelwood","BHA","D,M","Claim","László Hofnár","12.00","1","Fri Feb 9, 2024, 12:00PM","24"
"Murillo","NOT","D,M","Drop","László Hofnár","","1","Fri Feb 9, 2024, 12:00PM","24"
"Daniel Munoz","CRY","D,M","Claim","Sjeeterboys","6.00","1","Fri Feb 9, 2024, 12:00PM","24"
"Bernardo Silva","MCI","M,F","Drop","Sjeeterboys","","1","Fri Feb 9, 2024, 12:00PM","24"
"Alfie Doughty","LUT","D,M","Claim","One Season Wonderers","32.00","1","Fri Feb 9, 2024, 12:00PM","24"
"Brennan Johnson","NOT/TOT","M,F","Drop","One Season Wonderers","","1","Fri Feb 9, 2024, 12:00PM","24"
"Dango Ouattara","BOU","D,M,F","Claim","NOAD Athletic","3.00","5","Fri Feb 2, 2024, 12:00PM","23"
"Mateo Kovacic","MCI","M","Drop","NOAD Athletic","","5","Fri Feb 2, 2024, 12:00PM","23"
